Restaurant,Neighborhood,Phone,Website,IG
Wilson's Bbq Rib Shack,Alhambra,(323) 457-0258,https://www.wilsonsbbqribshack.com/,@wilsonsbbqribshack
Little Red Hen Coffee Shop,Altadena,(626) 791-1614,https://www.yelp.com/biz/the-little-red-hen-coffee-shop-altadena,@thelittleredhencoffeeshop
UEDF Fish & Chips,Altadena,(626) 794-0277,https://www.yelp.com/biz/uedf-fish-and-chips-altadena,N/A
Georgia's Restaurant,Anaheim,(714) 906-1900,https://www.georgias-restaurant.com/,@georgiassoul
Roscoe's Chicken and Waffles,Anaheim,(714) 823-4130,https://www.roscoeschickenandwaffles.com/,@roscoesofficial
Chicken N Chips,Atwater Village,(323) 922-1070,https://chickennchips.com/,@chickennchips
Keith's Kettle Corn,Azusa,(626) 804-7999,https://www.keithskettlecorn.com/,@Keithskettlecorn
Harun Coffee,Baldwin Hills,(323) 815-9944,https://harunintl.com/,@haruncoffee
Hotville Chicken,Baldwin Hills,(323) 792-4835,https://www.hotvillechicken.com/,@hotvillechicken
Post & Beam,Baldwin Hills,(323) 299-5599,https://postandbeamla.com/,@postandbeamla
Southern Girl Desserts,Baldwin Hills,(323) 293-2253,https://www.southerngirldesserts.com/,@southerngirldesserts
Yordanos Ethiopian Restaurant,Baldwin Hills,(323) 921-4215,https://www.yelp.com/biz/yordanos-ethiopian-restaurant-los-angeles,@yordanos_ethiopian_resturant
Hambone's Smokehouse,Bellflower,(562) 920-5200,http://hambonesbarandgrill.com/,@hambones_smokehouse
The Nest,Bellflower,(562) 804-5097,https://eatnest.com/,@eatatthenest
Silverback Coffee of Rwanda,Boyle Heights,(323) 685-5929,https://silverbackcoffee.com/,@silverbackcoffee
Kings Deli,Burbank,(818) 561-4405,https://www.kingsdeli.co/,@kingsdelila
"Lou, The French On The Block",Burbank,(747) 241-8205,https://www.louthefrenchontheblock.com/,@louthefrenchontheblock
JamaFo Jamaican Food Xpress,Canoga Park,(747) 444-9260,https://www.jamafoxpress.com/,@jamafoxpress
Thrive Doughnuts,Canoga Park,(344) 799-6206,https://www.thrivedoughnuts.com/,@thrivedoughnuts
3Stakx Kitchen,Carson,(323) 474-4429,https://www.3stakxkitchen.com/,@3stakxs_kitchen
Belly’s Sliders & Wings,Carson,(424) 366-4572,https://www.bellysslidersandwings.com/,@bellysslidersandwings
Darrow's Grill,Carson,(424) 570-0531,https://www.darrowsneworleansgrill.com/,@darrowsgril
Fresh and Meaty Burgers,Carson,(424) 536-3046,https://www.bestturkeyburgerlosangeles.com/,@freshandmeatyburgers
Juice-C-Juice,Carson,(310) 324-8444,https://www.gotjuices.com/,@juicecjuice
Ken's Ice Cream,Carson,(310) 324-7704,http://kensicecream.net/,@kensparlor
M&M Soul Food,Carson,(310) 324-5317,https://www.yelp.com/biz/m-and-m-soul-food-carson-2,N/A
R & R Soul Food Restaurant,Carson,(310) 715-6716,https://www.randrsoulfood.com/,@randrsoulfoods
Les Sisters,Chatsworth,(818) 998-0755,http://www.lessisters.com/,@lessisters2014
One876 Caribbean Restaurant,Chatsworth,(818) 678-9252,https://one876caribbeanrestaurant.com/,@one876caribbeanrestaurant
Billionaire Burger Boyz,Compton,(310) 554-4116,https://www.billionaireburgerboyz.com/,@billionaireburgerboyz
Cliff's Texas Style Burritos,Compton,(310) 609-2755,http://www.cliffsburritos.com/,@srcliffsburritos
Fish Bone Seafood,Compton,(310) 933-8868,https://fishboneseafood.com/fishbone-seafood-compton/,@fishbone_compton
Foster Bros,Compton,(213) 448-1203,N/A,@fosterbros_
Fun Diggity,Compton,(424) 242-5799,https://fundiggity.business.site/?utm_source=gmb&utm_medium=referral,@fdfunnelcakes
Happy Ice,Compton,(215) 800-3965,https://happyicela.com/,@happyice
JohnsonBrothersBBQ,Compton,(310) 933-8803,https://www.johnsonbrothersbbq.com/,@johnsonbrothersbbq
Patria Coffee,Compton,(323) 513-4865,https://www.patriacoffee.com/,@patriacoffee
Plate Of Hue,Compton,(323) 205-5283,https://www.facebook.com/pg/plateofhue/about/?ref=page_internal,@plateofhue
Smakk'D Refreshers & Teas,Compton,(424) 785-4212,https://www.smakkdrefreshers.com/,@smakkd_
Trap Kitchen,Compton,(503) 442-0748,https://www.trapkitchen.com/,@therealtrapkitchen
Kick Ass Vegans,Corona,(951) 223-1035,https://www.kickassvegans.com/,@kickassvegans
BB's Cafe,Covina,(626) 888-4960,https://www.yelp.com/biz/bbs-cafe-covina,@_bbscafe
GS Cafe and Ethiopian Cuisine,Covina,(626) 332-0585,https://gs-cafe-and-ethiopian-cuisine.business.site/,N/A
Mel's Fish Shack,Crenshaw,(323) 732-6357,https://melsfishshack.com/,@melsfishla
Who’s Hungry Caribbean & Catering,Crenshaw,(213) 610-4199,https://www.whoshungrycatering.com/,@whoshungryla
Delvigne Croissant,Culver City,(213) 326-4404,https://www.delvignecroissant.com/,@delvignecroissant
Honey's Kettle,Culver City,(310) 202-5453,http://honeyskettle.com/,@honeyskettle
Industry Cafe + Jazz,Culver City,(310) 202-6633,https://industrycafela.com/,@industryjazzcafe
Janga by Derrick's Jamaican Cuisine,Culver City,(424) 603-4843,http://jangabyderricks.com/,@jangabyderricks
JR's Barbeque,Culver City,(310) 837-6838,http://jrs-bbq.com/,@officialjrsbbq
Milk and Brookies,Culver City,(213) 536-7043,http://www.milkandbrookies.com/,@milk_and_brookies
The Jerk Spot,Culver City,(310) 815-1160,http://jerkspotla.com/index.html,@jerkspotla
A Beautiful Life,Downtown,(213) 972-9900,https://www.abeautifullifecafe.com/,@abeautifullifejamaican
Bo Daddy's BBQ,Downtown,(213) 536-5210,https://www.bodaddys.com/,@bodaddysbbqdtla
Bohemian House of Espresso + Chai,Downtown,(213) 628-3086,https://www.bohemianchai.com/,@bohemianchai
Boketto Cold Brew,Downtown,(310) 490-5394,https://www.bokettocoldbrew.com/,@bokettocoldbrew
Comfort LA,Downtown,(213) 537-0844,https://www.eatcomfortla.com/,@comfort_la
Divine Dips,Downtown,(213) 265-7785,http://divinedipsicecreme.com/,@divinedipsdtla
Funculo,Downtown,(213) 325-3013,https://downtownla.com/go/funculo,@funcolodtla
Nimbus Coffee,Downtown,(213) 441-7309,https://www.nimbuscoffeela.com/home,@nimbus_coffee_la
Poppy+Rose,Downtown,(213) 995-7799,https://www.poppyandrosela.com/,@poppyandrosela
Vurger Guys,Downtown,(213) 298-1724,https://www.vurgerguyz.com/,@vurgerguyz
Woodspoon,Downtown,(213) 629-1765,http://www.woodspoonla.com/,@woodspoon
Bloom & Plume,Historic Filipinotown,(213) 908-5808,https://www.bloomandplumecoffee.com/,@bloomandplumecoffee
Silverback Coffee of Rwanda,Echo Park,(323) 685-5929,https://silverbackcoffee.com/,@silverbackcoffee
VanillaBlack Coffee.,Echo Park,N/A,https://www.yelp.com/biz/vanillablack-los-angeles,@vanillablackla
Barbara Jean Soul Food,Exposition Park,(213) 419-9465,http://barbarajeanla.com/,@barbarajeaneats
Tracy's Belizean Restaurant,Exposition Park,(323) 735-2166,https://www.yelp.com/biz/traceys-belizean-restaurant-los-angeles,N/A
South LA Cafe,Exposition Park,(213) 260-0633,https://www.southlacafe.com/,@southlacafe
Bludso's,Fairfax,(323) 931-2583,https://www.barandque.com/,@bludsosbbq
Fish Bone Seafood,Gardena,(310) 532-7874,https://fishboneseafood.com/fishbone-seafood-gardena/,@fishboneseafoodgardena
Fish Bone Seafood - Strawberry Square,Gardena,(323) 814-2400,https://fishboneseafood.com/strawberry-square/,@fishbone_strawberry_square
Fyre Bird Chicken,Gardena,(424) 269-1943,https://www.toasttab.com/fyrebird-15717-crenshaw-bl-unit-a/v3,@fyrebirdchicken_
